樣品名稱,sample name,eng text
大麥仁,coix seed,"coix seed has a light brown color and a slightly rounded shape with a flat side, resembling a small disc or button  Its surface is also covered in small bumps or ridges "
大麥片,rolled oats ,"rolled oats  is a type of cereal made from crushed barley, and it has a rich golden-brown color with a rough, textured appearance due to the grains being crushed "
大麥仁粉,coix seed powder ,"coix seed powder 's color is light beige with a powdery texture, and its appearance looks like finely ground flour "
麥茶,wheat tea ,wheat tea  appears as a light-brown colored liquid with a slightly cloudy and translucent appearance  Its texture is smooth and there may be some residue at the bottom of the container 
小米,millet ,"millet  is a type of grain that is typically yellow in color and has a small, round shape  It has a smooth and uniform appearance, with no major variations in size or color "
糯小米,glutinous rice,"glutinous rice is a type of glutinous rice that has a slightly translucent, white color with a glossy appearance when cooked  Its grains are small, round and sticky in texture "
小麥,wheat ,"wheat  (Xiaomai) are small steamed dumplings with a wheat flour shell, typically the color of off-white or pale yellow, and often have a pleated appearance on top  They are most commonly filled with pork, but sometimes include seafood or vegetables "
小麥胚芽,wheat germ,"wheat germ is light brown in color and has a small, oblong shape with a slightly rough outer layer "
去筋麵粉,gluten-free flour or de-glutenized flour ,"gluten-free flour or de-glutenized flour  has a pale beige color and a fine, powdery texture with no visible clumps or lumps  It looks smooth and uniform in appearance "
低筋麵粉,low gluten flour ,"low gluten flour  has a pale white color and a fine, powdery appearance  Its texture is smooth and uniform "
中筋麵粉,medium gluten flour,"medium gluten flour, also known as medium gluten flour, typically has an off-white color and a powdery appearance  When mixed with water, it forms a smooth and elastic dough "
高筋麵粉,high gluten flour ,"high gluten flour  is a type of flour that is white in color and has a powdery, fine appearance  It is commonly used for making bread and other baked goods that are light and fluffy in texture "
高筋麵粉(2021年取樣),high-gluten flour (sampled in 2021),"The high-gluten flour (sampled in 2021) appears white and powdery, with a fine texture and no visible impurities  Its appearance suggests a high level of purity and suggests that it may produce baked goods with a light and fluffy texture "
全麥麵粉,whole wheat flour,"Whole wheat flour appears darker in color compared to regular flour, and it has a slightly grainy appearance due to the presence of wheat bran particles "
雜糧中筋麵粉,medium gluten flour from mixed grains,medium gluten flour from mixed grains has a light brown color and a slightly coarse texture due to the addition of various grains  Its appearance is similar to traditional wheat flour but with small specks of grains visible 
雜糧高筋麵粉,high gluten flour mixed with various grains ,"high gluten flour mixed with various grains  is a blend of various grains which gives it a textured, rustic appearance with speckles of brown and beige throughout, and a slightly darker overall color compared to regular wheat flour "
水餃皮,dumpling wrappers ,"dumpling wrappers  is a very thin and translucent white dough wrapper used for making dumplings  Its appearance is soft and delicate, with a slightly shiny and smooth surface "
春捲皮,spring roll wrappers,"spring roll wrappers is a light-colored and translucent wrapper made from wheat flour and water, often used to wrap stir-fried vegetables or meat  Its appearance is thin and delicate, with visible streaks or wrinkles from the folding process "
餛飩皮,wonton wrappers ,"wonton wrappers  is a thin and translucent wrapper that is traditionally used to make wontons or dumplings  It has a pale, whitish color with a slightly glossy appearance "
乾麵條,dried noodles,"dried noodles is a type of dried noodles commonly found in Asian cuisine  It appears thin and pale yellow in color, with a slightly curved shape "
油麵條,oil noodles ,"oil noodles  has a yellowish-brown color due to its wheat flour and oil content  Its appearance is long, thin, and slightly shiny from the oil used in the cooking process "
紅蘿蔔麵,carrot noodles ,"Carrot noodles are long, thin and brightly colored, resembling traditional pasta but with a deep orange hue that is visually striking and a natural reminder of the ingredient used "
通心麵,macaroni ,"macaroni  is a tubular pasta with a pale yellow color and a smooth, glossy surface  Its appearance is elongated, cylindrical and its texture is firm yet smooth "
菠菜條,spinach strips ,spinach strips  is a dish made from spinach and has a vibrant green color  It is usually in thin strips or slices and has a slightly soft and flexible texture 
鍋燒意麵,pan-fried noodles in soup ,pan-fried noodles in soup  has a dark brown color due to the soy sauce and is topped with a variety of colorful vegetables and meat that add texture and contrast to the dish 
雞蛋麵,egg noodles ,"egg noodles  typically appears as slightly yellowish noodles with a shiny and slightly slippery texture  It is often served in a light or clear soup, which highlights the color and texture of the noodles "
刀削麵,knife-cut noodles ,"knife-cut noodles  is a type of Chinese noodle that has a long, flat and thin shape with a white or pale yellow color  The surface of the noodles is smooth and shiny, making them appear visually appealing and appetizing "
拉麵,ramen,"ramen has a yellowish color and a long, thin noodle shape, usually served in a clear broth or sauce  The broth may be garnished with green onions or other toppings, adding to its attractive appearance "
意麵,"italian-style noodles (literally ""italian noodles"")","italian-style noodles (literally ""italian noodles"") is a type of pasta with a bright yellow color and a smooth, slippery texture  It is commonly served in long strands and has a shiny appearance when cooked "
衛生油麵,wai san oil noodles,wai san oil noodles is a type of Chinese noodles that have a light yellow color and appear sleek and shiny due to the oil coating  They are usually thin and slightly curved 
金門黃麵,kinmen yellow noodle ,"kinmen yellow noodle  is a type of yellow noodle that has a vibrant golden hue, smooth and shiny texture, and a rectangular shape that gives it a distinctive appearance  The color and appearance of the noodle make it eye-catching and appetizing "
冷凍烏龍麵,frozen udon noodles ,"frozen udon noodles  appears as pale, translucent strands that are slightly glossy in appearance  Its color is like that of uncooked white noodles "
鍋燒麵,"""pot-boiled noodles""","""pot-boiled noodles"" typically has a dark brown color, with the noodles appearing slightly glossy and the toppings and broth giving off a slight shine  The noodles may also be slightly curled or wavy, giving it a more rustic appearance "
長麵線,long noodles / vermicelli,"long noodles / vermicelli is a type of thin and long noodles that are white in color and have a smooth, shiny and slippery appearance  They are often served in clear soups or stir-fried dishes "
蚵仔麵線,oyster vermicelli ,"oyster vermicelli  is a Taiwanese noodle soup dish characterized by its light broth and thin, translucent noodles  The dish is topped with small, briny oysters and garnished with green onions, giving it a simple yet appealing presentation with natural hues of white and green "
麵線,mian xian,"mian xian is a thin, translucent noodle made from rice flour that appears white or slightly transparent when cooked  Its delicate appearance makes it a popular addition to clear soups or stir-fries where its texture and flavor can be fully appreciated "
雞絲麵,chicken shredded noodles,"chicken shredded noodles is a staple Taiwanese dish that comprises of thin, white noodles topped with shredded chicken and vegetables  The overall appearance is characterized by its vibrant colors, such as the bright orange carrots and dark green scallions, contrasted against the white noodles "
麵筋,gluten of wheat flour,"gluten of wheat flour has a light yellow color and a rubbery, chewy appearance that resembles thick, rope-like cords "
麵腸,noodle sausage ,"noodle sausage  is a Taiwanese dish that is made from rice flour and has a white color with a smooth, tubular appearance  It is often served with soy sauce or other savory sauces "
白玉米,white corn,white corn is a pale yellow color and has a smooth and shiny kernel surface  The kernels are cylindrical in shape and tightly packed 
紫玉米,purple corn ,"purple corn  has a deep purple color with shiny and smooth kernels, giving it a unique and attractive appearance  The kernels are also slightly larger than those of regular yellow corn "
甜玉米,sweet corn,"sweet corn is a type of corn that has a bright yellow color with plump and tightly packed kernels, giving it a fresh and appealing appearance  Its outer husk is generally green and tightly wrapped around the cob "
雙色水果玉米,two-colored fruit corn ,two-colored fruit corn  has a unique appearance that showcases its bright yellow and red kernels  The combination of these colors gives the appearance of a vibrant and colorful feast for the eyes 
糯玉米,glutinous corn ,"glutinous corn , also known as sticky corn, has a vibrant yellow color and a plump, rounded appearance due to its large kernels that are tightly packed together on the cob "
冷凍玉米粒,frozen sweet corn kernels ,"frozen sweet corn kernels  appears as small, bright yellow kernels with a glossy, smooth surface  The color is uniform and vibrant, indicating high quality and freshness "
玉米筍,corn shoots ,"corn shoots , also known as baby corn, is a small and slender vegetable with a pale yellow to cream-colored cob or stalk and a light green or bright yellow, tightly clustered tip  Its appearance resembles miniature ears of corn, but with a more delicate texture and sweeter flavor "
乾玉米粒,dried corn kernels ,"dried corn kernels  has a bright yellow color and a hard, dry appearance, with a slightly wrinkled texture due to the dehydration process "
玉米胚芽,corn germ,"corn germ has a bright yellow color and small, round shape with a slightly bumpy texture  It also has a shiny appearance due to the natural oils present in the embryo "
玉米粉,corn flour ,"corn flour  is a fine, fluffy, pale yellow corn flour  It has a smooth and powdery texture, similar to wheat flour, and is often used to make tortillas, tamales, and other traditional dishes "
玉米粒罐頭,canned corn kernels,"The canned corn has a vibrant yellow color and the kernels appear plump and evenly sized, with a glossy sheen from the canning liquid "
玉米醬罐頭,canned corn sauce ,"The canned corn sauce has a bright yellow color and a smooth texture  It appears to be a thick, viscous liquid with small chunks of corn visible throughout "
秈米平均值,average value of indica rice,"I'm sorry, but ""average value of indica rice"" is not a specific dish or ingredient that I am familiar with  Can you please provide more information or clarify what it refers to?"
秈米(台中在來2號),unhulled rice (taichung tainung 2),"unhulled rice (taichung tainung 2) is a unique variety of rice with a white and slightly translucent appearance when cooked, and a slightly sticky texture  It also has a slightly yellow-ish tint and a distinctive aroma, making it a popular choice for many Taiwanese dishes "
秈米(台中秈10號),taiwan rice (taichung siang no  10),"taiwan rice (taichung siang no  10) is a type of Taiwanese rice that is characterized by its shiny, white appearance with a slight yellow tint  It has a small and round shape, and its grains are translucent and uniform in color "
粳米平均值,average value of polished rice ,"average value of polished rice  appears as small, round, and translucent white grains with a consistent color and texture  It has a bright and clean appearance that is visually appealing "
粳米(台中189號),glutinous rice (no  189 taichung),"glutinous rice (no  189 taichung) is a type of short grain white rice, known for its translucent appearance and pearly white color  The grains are plump and uniform in size, with a shiny surface "
粳米(台南11號),japonica rice (tainan no 11),"japonica rice (tainan no 11) has a pearl white color and a glossy appearance, with each grain being plump and uniform in shape "
粳米(台粳2號),glutinous rice (taiwanese glutinous rice no  2),"glutinous rice (taiwanese glutinous rice no  2) is a white grain with a slightly translucent appearance  It has a smooth and polished texture, making it visually appealing to the consumer "
粳米(台粳8號),glutinous rice (taiwanese glutinous rice variety 8),"The glutinous rice (taiwanese glutinous rice variety 8) has a white and glossy appearance, with a slight translucency  Its grains are plump and uniform in size, with a soft and smooth texture "
粳米(台粳9號),"glutinous rice (taiwanese glutinous rice ""9th selection"")","The glutinous rice (taiwanese glutinous rice ""9th selection"") has a pearly white color and a short, plump and round appearance, with a slightly sticky texture when cooked "
粳米(台農71號),glutinous rice (tainung no 71),"glutinous rice (tainung no 71) has a consistent ivory color with distinct elongated and slender grains, giving it an elegant appearance that is commonly associated with high-quality rice  Its smooth and glossy texture adds to its appeal as a visually pleasing component of any dish "
粳米(高雄139號),glutinous rice (kaohsiung 139),"glutinous rice (kaohsiung 139) has a shiny white color and a smooth, uniform texture  Its grains are compact and rounded, with no visible defects "
粳米(高雄142號),glutinous rice (kaohsiung 142),"glutinous rice (kaohsiung 142) has a pearly white color and a plump, rounded appearance, indicating its high quality and freshness  The grains are uniform in size and exhibit a glossy sheen, further enhancing its overall appeal "
粳米(高雄145號),polished rice (kaohsiung no  145),"polished rice (kaohsiung no  145) is a type of rice with a white and translucent appearance  The grains are small and round, making it aesthetically pleasing when cooked "
粳米(高雄139號)(2021年取樣),long-grain rice (kaohsiung #139) (sampled in 2021),"long-grain rice (kaohsiung #139) (sampled in 2021) has a bright, white color with a smooth and uniform appearance, indicating the rice is well-polished and free from impurities "
越光米,yu guang mi,"yu guang mi (Yuè guāng mǐ) is a type of rice that appears glossy and translucent  Its color is a bright milky white, with a slight translucency that indicates its high quality "
白秈糯米(台中糯70號秈米),white glutinous rice (taichung glutinous rice no  70),"Taiwanese white glutinous rice (Tai Chung Nuo 70) has a pearl-white color with a shiny, translucent appearance  The grains are plump, sticky, and slightly chewy in texture "
白粳糯米平均值,average value of glutinous rice,"average value of glutinous rice is a type of glutinous rice with a pale and translucent white color and a sticky, slightly shiny appearance "
白粳糯米(台中189號粳米),sticky rice made from taichung no 189 glutinous rice ,"The sticky rice made from taichung no 189 glutinous rice  has a white, translucent, and glossy appearance with a slightly sticky texture due to its glutinous rice composition  The grains also appear plump and well-formed, suggesting a high quality and well-milled product "
白粳糯米(台粳糯1號粳米),glutinous rice (taiwanese glutinous rice type 1),"glutinous rice (taiwanese glutinous rice type 1) has a white color and a slightly glossy appearance due to its high starch content  The grains are also plump and sticky, providing a chewy texture when cooked "
野生紅米,wild red rice,"wild red rice has a distinct dark red color and a long, slender shape with a slightly pointed end  The texture is firm and slightly chewy with a glossy exterior "
紅糯米,red glutinous rice ,"red glutinous rice  is a type of glutinous rice with a deep red color that appears slightly translucent when cooked, making it visually striking and attractive on a plate  Its shiny and sticky texture make it appealing to eat "
黑秈糯米,black glutinous rice ,"black glutinous rice  is a type of Chinese sticky rice that has a dark purple color and a shiny, slightly translucent appearance when cooked "
胚芽秈米(台中秈10號),germinated rice (taichung tainung no 10),"The germinated rice (taichung tainung no 10) has a yellowish-brown color with visible brownish sprouts on the grains, giving it a unique and organic appearance  Its grains are plump and uniform in size, contributing to an overall aesthetically pleasing presentation "
胚芽粳米平均值,average value of brown rice embryo ,"The average value of brown rice embryo  has a light brown color due to the presence of the embryo in the grain, and it has a slightly rough texture and irregular shape due to the presence of the germ "
胚芽粳米(台粳10號）,germinated brown rice (taiwanese rice variety no  10),germinated brown rice (taiwanese rice variety no  10)is a light brown rice with visible germ and bran particles  Its appearance is mainly characterized by its speckled texture due to the presence of the germ and bran 
